Global Volcanism Program - Volcanoes of the World 4.11.2,,,,Downloaded on 16 Sep 2022 at 10:03 PM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
332010,Kilauea,22416,Confirmed Eruption,,0,,,2021,,9,,29,,Observations: Reported,>,2022,,8,,12,,19.421,-155.287
312030,Pavlof,22411,Confirmed Eruption,,2,,,2021,,8,,5,,Observations: Reported,>,2022,,8,,12,,55.417,-161.894
284170,Pagan,22409,Confirmed Eruption,,2,,,2021,,7,,29,,Observations: Reported,,2021,,9,,6,,18.13,145.8
311120,Great Sitkin,22401,Confirmed Eruption,,2,,,2021,,5,,25,,Observations: Reported,>,2022,,8,,12,,52.076,-176.13
312070,Veniaminof,22393,Confirmed Eruption,,1,,,2021,,2,,28,,Observations: Reported,,2021,,4,,5,,56.17,-159.38
311060,Semisopochnoi,22392,Confirmed Eruption,North Cerberus,2,,,2021,,2,,2,2,Observations: Reported,,2022,,6,,12,,51.93,179.58
332010,Kilauea,22380,Confirmed Eruption,,0,,,2020,,12,,20,,Observations: Reported,,2021,,5,,23,,19.421,-155.287
311240,Cleveland,22361,Confirmed Eruption,,3,,,2020,,6,,1,,Observations: Reported,,2020,,6,,1,,52.825,-169.944
311060,Semisopochnoi,22341,Confirmed Eruption,North Cerberus,1,,,2019,,12,,7,,Observations: Reported,,2020,,6,,19,,51.93,179.58
311360,Shishaldin,22330,Confirmed Eruption,Summit crater,3,,,2019,,7,,23,,Observations: Reported,,2020,,5,,4,,54.756,-163.97
311060,Semisopochnoi,22328,Confirmed Eruption,,1,,,2019,,7,,16,,Observations: Reported,,2019,,8,,24,,51.93,179.58
311120,Great Sitkin,22322,Confirmed Eruption,,1,,,2019,,6,,1,,Observations: Reported,,2019,,6,,7,,52.076,-176.13
